"MSID","A0","A1","A2","A3","A4","A5","B0","B1","B2","B3","B4","B5","GName50k","f0","dl0"
123,190802.24,1.0000548,0.0382526,-3.74E-009,3.52E-009,1.70E-010,4239283.57,-0.0382625,1.0000599,3.90E-010,1.90E-010,-7.46E-009,"Ιθάκη",38.15,-3.15
124,630888.28,0.9996968,-0.0153116,1.63E-009,-1.56E-009,-3.00E-011,4067976.46,0.0153141,0.9996877,6.00E-011,2.50E-010,3.13E-009,"Ίος",36.45,1.45
125,410194.52,0.9996332,0.0112338,-8.60E-010,2.67E-009,7.00E-011,4289353.04,-0.0112851,0.9996386,-7.70E-010,-1.70E-010,-1.35E-009,"Ιστιαία",38.45,-0.45
126,365821.54,0.9997155,0.016596,-2.33E-009,1.38E-009,-6.40E-010,4234482.93,-0.0165938,0.999712,-6.30E-010,-5.00E-011,-4.01E-009,"Ιτέα",38.15,-1.15
127,240119.93,0.9998629,0.0339001,-3.40E-009,3.18E-009,-4.90E-010,4404216.29,-0.0339085,0.9998642,3.50E-010,-2.50E-010,-6.58E-009,"Ιωάννινα",39.45,-2.45
128,539373.17,0.999618,-0.0052977,3.90E-010,-4.40E-010,2.90E-010,4510897.89,0.0052888,0.9996134,2.20E-010,4.60E-010,1.39E-009,"Καβάλα",40.45,0.45
129,319657.5,0.9997985,0.0215042,-2.09E-009,2.26E-009,-4.60E-010,4124371.61,-0.0215025,0.9997914,2.00E-010,-2.40E-010,-4.38E-009,"Καλαμάτα",37.15,-1.45
130,236395.55,0.9998981,0.0331868,-4.86E-009,3.06E-009,-3.00E-011,4293220.55,-0.033223,0.9998956,1.17E-009,-3.70E-010,-8.87E-009,"Κάλαμος",38.45,-2.45
131,497146.35,0.9996218,0.0004028,-1.70E-010,2.60E-010,2.70E-010,4455299.91,-0.0003894,0.99961,1.60E-010,1.30E-010,-2.70E-010,"Καλαμίτσιον",40.15,0.15
132,282959.49,0.999794,0.0283062,-3.10E-009,2.77E-009,-4.50E-010,4402883.53,-0.0283143,0.9997862,5.00E-011,-2.80E-010,-5.52E-009,"Καλαμπάκα",39.45,-2.15
133,454626.92,0.9996202,0.0060327,-2.50E-010,4.40E-010,-3.00E-011,4455436.5,-0.0060317,0.9996166,6.00E-011,1.00E-010,-8.90E-010,"Καλάνδρα",40.15,-0.15
134,764806.23,1.0000216,-0.0309756,2.80E-009,-3.12E-009,-1.40E-010,4071065.87,0.0309675,1.0000044,6.00E-011,-2.80E-010,6.84E-009,"Κάλυμνος",36.45,3.15
135,195095.61,0.9999789,0.0390932,-3.67E-009,3.61E-009,-6.00E-010,4350284.35,-0.0390904,0.9999804,2.10E-010,-4.80E-010,-7.37E-009,"Καναλλάκιον",39.15,-3.15
136,364905.8,0.9997169,0.0163973,-1.53E-009,1.99E-009,-3.70E-010,4179006.59,-0.0164035,0.9997233,2.30E-010,-3.60E-010,-3.35E-009,"Κανδήλα",37.45,-1.15
137,409569.69,0.9996032,0.0111691,8.00E-011,-2.90E-010,-1.01E-009,4233875.04,-0.0111433,0.9995753,-2.80E-010,-7.00E-010,2.02E-009,"Καπαρέλλιον",38.15,-0.45
138,318470.97,0.9998217,0.0212606,-1.66E-009,2.22E-009,-4.50E-010,4068899.93,-0.0212553,0.9998139,3.00E-010,-4.30E-010,-4.31E-009,"Καρδαμύλη",36.45,-1.45
